#NSGA2
popsize 100
maxGen 500
numVar 30
numObj 2
numCons 0
stateFieldNames	currentGen	evaluateCount	totalTime	firstFrontCount	frontCount	avgEvalTime	
#end


#Generation 1 / 500
currentGen	1
evaluateCount	100
totalTime	0.400426
firstFrontCount	2
frontCount	13
avgEvalTime	4.93413e-05
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
0	1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	0	1	1	0	0	0	5.03448	
0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	1	1	0	0	1	0	4.41379	
1	0	0	0	0	1	0	1	0	1	0	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	0	0	1	2.31289	
0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	0	5.96552	
1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	1	3.27711	
0	1	1	1	1	1	1	0	0	1	1	0	1	0	1	1	0	0	0	0	0	1	0	1	1	1	0	1	0	1	0	6.27586	
0	0	0	1	0	0	1	0	1	0	1	0	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	1	0	5.65517	
1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	1	3.77069	
0	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	1	1	1	0	1	1	1	0	0	1	1	0	6.58621	
0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	1	0	0	0	0	4.41379	
1	0	1	1	0	1	0	0	1	1	1	1	0	1	0	1	1	1	0	1	1	0	1	1	1	0	1	0	1	0	1	4.01985	
0	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	0	0	1	1	0	1	0	1	0	1	0	1	0	5.96552	
1	0	1	0	0	1	0	1	0	1	1	1	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	1	2.31289	
1	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	1	0	1	1	1	1	0	0	1	0	1	1	3.77069	
1	1	0	0	0	0	1	1	1	0	0	1	0	1	1	0	1	1	1	1	1	1	1	1	0	0	1	1	0	1	1	4.01985	
1	1	0	1	1	1	1	0	1	0	0	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	4.27042	
0	0	1	1	1	0	1	1	0	0	0	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	0	0	0	5.96552	
0	1	0	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	5.03448	
1	1	1	0	0	0	0	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	3.77069	
1	0	1	1	0	1	1	0	1	1	0	0	0	1	1	0	1	1	1	1	0	0	1	0	0	0	1	0	1	0	1	3.27711	
1	1	0	1	0	1	1	0	0	0	0	0	1	1	1	1	0	1	0	1	0	1	0	1	1	1	1	1	0	0	1	3.52308	
1	1	1	0	1	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	1	0	0	0	0	0	1	0	0	0	1	3.27711	
0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	2.86207	
0	0	0	0	1	0	1	1	0	1	1	1	1	0	1	0	0	1	1	0	0	1	1	1	1	0	1	0	1	0	0	5.96552	
1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	0	1	1	1	2.55063	
1	1	1	1	0	1	0	0	0	0	1	0	1	0	0	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	1	3.52308	
1	0	1	0	0	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	0	0	1	1.84551	
1	0	1	1	1	1	0	1	0	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	1	0	1	1	1	4.01985	
1	1	1	1	0	0	1	0	0	0	1	1	1	0	0	1	1	1	0	0	1	1	1	0	1	0	1	0	0	0	1	3.27711	
1	1	0	0	0	1	1	0	0	0	1	1	0	0	1	0	0	1	0	1	1	1	0	1	1	0	1	0	0	0	1	2.79072	
1	1	0	1	0	1	1	0	1	0	1	0	0	1	1	0	0	1	0	1	1	1	0	0	1	1	1	1	1	0	1	3.77069	
1	0	0	0	1	1	1	1	1	1	1	0	0	0	1	1	1	1	0	1	1	0	1	0	0	0	0	1	0	0	1	3.27711	
0	0	0	1	0	0	0	1	0	1	1	0	1	1	0	1	1	0	0	1	1	1	0	1	1	1	1	0	0	0	0	5.65517	
0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	1	1	0	0	0	1	1	0	0	4.10345	
0	1	1	0	1	1	0	1	0	0	1	1	0	1	1	1	0	0	0	1	0	0	1	1	0	0	0	1	0	0	0	5.34483	
1	0	1	1	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	1	1	0	0	1	1	1	1	4.01985	
1	1	1	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	1	2.55063	
1	0	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	3.52308	
1	1	0	1	1	1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	0	0	0	0	0	1	0	1	1	3.52308	
0	1	0	1	1	0	0	0	0	0	0	1	1	1	0	1	0	1	1	0	1	1	1	1	1	0	0	0	1	1	0	5.96552	
0	0	1	1	1	0	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	1	0	0	1	1	1	0	1	1	0	6.58621	
1	0	1	1	0	1	1	0	1	0	1	0	0	1	0	0	0	0	1	1	0	0	1	0	1	1	1	1	0	1	1	3.27711	
1	1	1	1	0	1	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	1	1	0	1	1	0	1	1	0	1	4.52233	
1	0	0	0	0	0	1	0	0	0	1	0	1	1	1	0	1	1	0	0	0	1	0	1	1	1	0	0	1	0	1	2.55063	
0	0	0	1	1	1	1	0	0	0	1	1	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	1	0	0	5.65517	
1	0	0	0	1	0	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	1	1	1	0	1	1	1	0	0	1	3.77069	
1	1	1	0	0	1	1	0	0	0	1	1	1	1	0	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	3.27711	
0	1	0	1	1	1	0	1	1	1	0	1	0	0	1	0	0	0	1	0	0	1	0	1	1	1	0	1	0	1	0	5.96552	
0	1	0	1	1	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	0	1	0	0	0	5.34483	
0	1	1	0	0	1	0	1	1	0	0	1	1	1	0	1	0	1	1	0	0	1	0	0	1	0	1	1	1	1	0	6.27586	
1	0	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	2.07775	
1	1	0	1	0	1	1	1	0	1	0	0	1	1	0	1	1	0	1	0	0	0	1	0	0	1	0	1	1	1	1	3.52308	
1	0	0	1	1	0	1	1	1	1	1	1	0	0	1	0	1	0	1	0	0	1	0	1	1	0	0	1	0	0	1	3.27711	
0	0	0	1	0	0	0	1	0	1	0	0	0	1	1	0	1	1	1	1	1	0	0	0	0	1	0	0	0	1	0	4.72414	
0	0	1	1	0	0	0	1	0	1	0	1	1	0	1	0	1	1	0	0	1	1	0	0	1	0	1	1	0	1	0	5.65517	
1	1	0	0	1	1	1	1	0	1	1	1	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	3.77069	
1	0	0	1	0	0	1	1	0	1	1	0	0	1	0	0	0	1	1	0	0	1	0	1	0	0	0	0	0	0	1	2.07775	
1	0	1	1	1	1	0	0	1	1	1	0	0	1	0	1	1	1	1	0	0	0	0	1	1	0	0	1	0	0	1	3.27711	
1	0	1	0	0	1	1	1	1	0	0	1	0	1	1	0	1	0	1	1	0	1	1	0	1	1	1	1	0	0	1	3.77069	
1	0	1	1	1	0	0	1	0	1	0	1	0	1	1	1	0	0	1	1	0	1	1	0	1	0	0	1	1	0	1	3.52308	
1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	0	0	1	1	2.55063	
1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	1	1	1	1	0	0	1	0	0	1	3.27711	
0	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	1	0	1	1	0	0	0	1	0	0	1	0	0	5.65517	
0	1	1	0	1	0	0	1	0	0	1	1	1	0	0	0	1	0	0	1	0	1	1	1	1	1	1	0	0	0	0	5.65517	
1	1	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	0	1	1	1	1	1	1	1	1	2.79072	
0	0	0	1	0	1	1	1	1	1	0	0	1	0	0	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	5.96552	
0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	0	0	1	1	0	0	0	1	1	1	0	6.58621	
1	0	0	0	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	2.55063	
1	1	0	0	1	0	1	1	1	0	0	1	1	0	1	0	1	1	1	0	1	0	1	0	0	1	0	1	1	1	1	3.77069	
0	0	0	0	1	0	1	1	0	1	1	1	1	0	0	1	0	0	1	1	1	1	0	1	1	1	1	0	1	1	0	6.58621	
1	0	1	0	1	0	0	1	0	1	1	0	0	0	1	0	1	1	1	1	0	0	1	1	0	0	1	0	1	0	1	3.03294	
0	1	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	0	0	1	1	1	1	0	0	1	0	1	0	1	0	6.58621	



#Generation 10 / 500
currentGen	10
evaluateCount	1000
totalTime	9.00955
firstFrontCount	14
frontCount	3
avgEvalTime	3.13928e-05
#end
Var1	Var2	Var3	Var4	Var5	Var6	Var7	Var8	Var9	Var10	Var11	Var12	Var13	Var14	Var15	Var16	Var17	Var18	Var19	Var20	Var21	Var22	Var23	Var24	Var25	Var26	Var27	Var28	Var29	Var30	Obj1	Obj2	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
1	0	-0	-0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0.541418	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1.93103	
1	-0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.744256	
1	0	1	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	-0	1	0.744256	
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	-0	0	0	1	0	0	2.24138	
0	0	0	0	0	0	0	0	0	0	-0	0	0	0	-0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	2.24138	
0	0	0	0	0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	2.24138	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	-0	0	0	1	0	0	2.24138	
0	0	0	0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	2.24138	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.744256	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0	0	0	1	1	1	0	0	0	1	0	0	2.24138	
0	0	0	0	0	-0	0	0	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	2.24138	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.744256	
0	0	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	2.24138	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	-0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0.744256	
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	2.24138	
1	0	1	0	0	1	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.744256	
0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	2.24138	
1	0	1	0	0	1	0	0	-0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.744256	
1	0	1	0	0	1	0	0	1	-0	0	0	-0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2.55172	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	-0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	-0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	-0	0	0	0	0	0	1	0	1	0	0	0	0	-0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	-0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0.954312	
1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0.954312	
1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-0	0	0	0	1	0	1	0	-0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	-0	1	0	0	0	0	0	0	-0	-0	0	0	0	0	1	0	1	0	0	0	0	-0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	-0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	-0	0	0	0	0	0	0	0	0	-0	0	1	0	1	0	0	-0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	-0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	0	-0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-0	0	0	0	1	0.954312	
1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	-0	0	0	0	0	0	0	0	0	1	0	1	0	-0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	-0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	0	0	0	1	0	0	-0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	0	0	0	1	0	0	-0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	-0	1	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	-0	0	-0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	-0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	-0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	-0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	-0	1	0	0	0	0	0	0	-0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	-0	0	0	0	0	0	1	0	1	0	0	0	-0	0	0	1	0.954312	
1	0	1	0	0	-0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	-0	0	0	0	0	0	0	1	0	1	0	0	-0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	-0	0	-0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	-0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
1	0	1	-0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0.954312	
1	0	1	0	0	1	0	0	1	0	0	-0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0.954312	
